time,lat,lon,lwe_thickness_cm,uncertainty_cm,scale_factor,TotalSoilMoisture_kg/m2,SWE_inst_kg/m2,Qs_acc_kg/m2,TotalSoilMoisture_cm,SWE_cm,Qs_acc_cm
2002-04-17 12:00:00,23.25,86.25,-12.003431275606015,22.88781746306537,0.9672265741072044,1302.16327,0.0,0.0120599594,43.405443,0.0,0.0004019986433333
2002-04-17 12:00:00,23.25,87.75,-12.003431275606015,22.88781746306537,1.0547837018250346,1932.38083,0.0,0.0625055645,48.30952075,0.0,0.00156263915
2002-04-17 12:00:00,23.75,87.75,-12.003431275606015,22.88781746306537,1.0547837018250346,1953.10294,0.0,0.055250121,48.8275735,0.0,0.001381253025
2002-04-17 12:00:00,24.25,87.75,-12.003431275606015,22.88781746306537,0.955445765724529,1953.10294,0.0,0.055250121,48.8275735,0.0,0.001381253025
2002-04-17 12:00:00,26.75,89.25,-4.542763216222823,16.118506072724198,1.2809619118947355,1249.61464,0.0,0.018496572,62.480733,0.0,0.0009248285999999
2002-04-17 12:00:00,25.25,88.25,-12.003431275606015,22.88781746306537,1.0277413318537854,1662.68268,0.0,0.023133307,55.42275800000001,0.0,0.0007711102333333
2002-04-17 12:00:00,22.75,88.75,-12.003431275606015,22.88781746306537,0.8263106409296362,1287.2955,0.0,0.106518065,64.36477500000001,0.0,0.00532590325
2002-04-17 12:00:00,26.75,88.75,-4.542763216222823,16.118506072724198,1.2500309329684212,1651.1063,0.0,0.0172230247,55.03687766666667,0.0,0.00057410082
2002-04-17 12:00:00,22.75,87.75,-12.003431275606015,22.88781746306537,0.9523005579861872,1837.68939,0.0,0.0512166945,45.942236,0.0,0.001280417375
2002-04-17 12:00:00,26.25,89.25,-4.542763216222823,16.118506072724198,1.2809619118947355,2547.1422300000004,0.0,0.042669355,63.678558,0.0,0.0010667339
2002-04-17 12:00:00,26.25,88.25,-4.458992152975471,15.343889211712876,0.930137897705321,552.68567,0.0,0.00974625,55.268566,0.0,0.000974625
2002-04-17 12:00:00,23.75,87.25,-12.003431275606015,22.88781746306537,1.0547837018250346,1381.46334,0.0,0.025823791,46.04877833333333,0.0,0.00086079305
2002-04-17 12:00:00,21.75,87.75,-14.297243930244198,18.358782858696863,0.4385385837881416,2039.47256,0.0,0.180351455,67.98242,0.0,0.0060117151333333
2002-04-17 12:00:00,23.25,87.25,-12.003431275606015,22.88781746306537,1.0547837018250346,1986.57899,0.0,0.0614546365,49.6644755,0.0,0.0015363659
2002-04-17 12:00:00,25.75,88.25,-4.458992152975471,15.343889211712876,0.935049981980547,569.5833,0.0,0.009523508,56.958332,0.0,0.00095235085
2002-04-17 12:00:00,26.75,88.25,-4.458992152975471,15.343889211712876,0.930137897705321,2078.99441,0.0,0.0239432664,51.9748615,0.0,0.00059858167
2002-04-17 12:00:00,22.75,87.25,-12.003431275606015,22.88781746306537,0.9523005579861872,1900.72943,0.0,0.055677621,47.51823675,0.0,0.0013919406
2002-04-17 12:00:00,22.25,87.75,-14.297243930244198,18.358782858696863,1.50542489463114,2137.01002,0.0,0.1070870539999999,53.425252,0.0,0.002677176525
2002-04-17 12:00:00,22.25,87.25,-14.297243930244198,18.358782858696863,1.50542489463114,1838.80317,0.0,0.048710645,45.97008,0.0,0.00121776615
2002-04-17 12:00:00,23.25,86.75,-12.003431275606015,22.88781746306537,0.9672265741072044,1946.20526,0.0,0.0322853223,48.655132,0.0,0.0008071330575
2002-04-17 12:00:00,22.75,86.75,-12.003431275606015,22.88781746306537,1.0119802160227347,1822.12428,0.0,0.0410355238999999,45.553108,0.0,0.0010258881499999
2002-04-17 12:00:00,21.75,88.25,-14.297243930244198,18.358782858696863,0.0815523886479138,2035.36633,0.0,0.156474793,67.84554666666666,0.0,0.0052158264666666
2002-04-17 12:00:00,22.25,88.25,-14.297243930244198,18.358782858696863,1.3317331549608438,2584.63867,0.0,0.154794678,64.61596875,0.0,0.003869867
2002-04-17 12:00:00,23.25,88.25,-12.003431275606015,22.88781746306537,1.141514266533414,1625.6713,0.0,0.097715198,54.18904366666667,0.0,0.0032571732999999
2002-04-17 12:00:00,25.25,88.75,-12.003431275606015,22.88781746306537,1.0277413318537854,0.0,0.0,0.0,,,
2002-04-17 12:00:00,23.75,88.25,-12.003431275606015,22.88781746306537,1.141514266533414,2539.49361,0.0,0.238053634,63.48734375,0.0,0.005951340825
2002-04-17 12:00:00,22.75,88.25,-12.003431275606015,22.88781746306537,0.8263106409296362,2097.19092,0.0,0.0942981859999999,52.4297735,0.0,0.002357454725
2002-04-17 12:00:00,24.25,88.25,-12.003431275606015,22.88781746306537,1.0904283439857283,2539.49361,0.0,0.238053634,63.48734375,0.0,0.005951340825
2002-04-17 12:00:00,22.25,88.75,-14.297243930244198,18.358782858696863,1.3317331549608438,1295.75312,0.0,0.091657822,64.787655,0.0,0.004582891
2002-05-10 12:00:00,22.75,88.25,-9.15633644184424,11.58461565484018,0.8263106409296362,2097.19092,0.0,0.0942981859999999,52.4297735,0.0,0.002357454725
